date,weekend,jour_ferie,saison,tmin,tmax,Type de jour TEMPO
2018-09-01,True,False,Été,12.285393258426968,24.089265536723165,BLEU
2018-09-02,True,False,Été,11.345810055865922,24.69441340782123,BLEU
2018-09-03,False,False,Été,12.579775280898875,24.7123595505618,BLEU
2018-09-04,False,False,Été,14.13876404494382,24.893220338983053,BLEU
2018-09-05,False,False,Été,15.0,25.278531073446327,BLEU
2018-09-06,False,False,Été,15.755681818181818,22.63163841807909,BLEU
2018-09-07,False,False,Été,13.906857142857142,22.89142857142857,BLEU
2018-09-08,True,False,Été,11.2909604519774,25.21534090909091,BLEU
2018-09-09,True,False,Été,12.579661016949151,26.67457627118644,BLEU
2018-09-10,False,False,Été,14.226553672316385,26.48258426966292,BLEU
2018-09-11,False,False,Été,13.817514124293783,28.234078212290505,BLEU
2018-09-12,False,False,Été,14.671176470588234,27.368823529411763,BLEU
2018-09-13,False,False,Été,15.72215909090909,23.56797752808989,BLEU
2018-09-14,False,False,Été,14.003370786516854,23.263128491620115,BLEU
2018-09-15,True,False,Été,11.653383458646616,23.96451612903226,BLEU
2018-09-16,True,False,Été,11.38939393939394,25.8439393939394,BLEU
2018-09-17,False,False,Été,12.984426229508196,28.23032786885246,BLEU
2018-09-18,False,False,Été,16.495419847328247,26.475,BLEU
2018-09-19,False,False,Été,15.81875,26.93125,BLEU
2018-09-20,False,False,Été,15.286466165413533,27.431578947368426,BLEU
2018-09-21,False,False,Automne,14.05220588235294,23.59492753623188,BLEU
2018-09-22,True,False,Automne,12.03695652173913,22.45652173913044,BLEU
2018-09-23,True,False,Automne,13.85187969924812,24.42773722627737,BLEU
2018-09-24,False,False,Automne,10.734328358208955,19.85474452554745,BLEU
2018-09-25,False,False,Automne,8.232116788321168,19.90144927536232,BLEU
2018-09-26,False,False,Automne,7.759124087591241,22.869565217391305,BLEU
2018-09-27,False,False,Automne,9.398830409356725,25.59171597633136,BLEU
2018-09-28,False,False,Automne,10.76842105263158,24.016374269005848,BLEU
2018-09-29,True,False,Automne,10.79774011299435,21.14692737430168,BLEU
2018-09-30,True,False,Automne,8.184916201117318,20.784269662921343,BLEU
2018-10-01,False,False,Automne,9.91875,16.936516853932584,BLEU
2018-10-02,False,False,Automne,7.419883040935672,17.232941176470586,BLEU
2018-10-03,False,False,Automne,11.271764705882353,20.32588235294118,BLEU
2018-10-04,False,False,Automne,9.765921787709496,22.478651685393256,BLEU
2018-10-05,False,False,Automne,9.508426966292134,24.77022471910113,BLEU
2018-10-06,True,False,Automne,11.417877094972066,22.17191011235955,BLEU
2018-10-07,True,False,Automne,11.36741573033708,17.115642458100556,BLEU
2018-10-08,False,False,Automne,9.879888268156424,18.72402234636872,BLEU
2018-10-09,False,False,Automne,9.745762711864408,22.40225988700565,BLEU
2018-10-10,False,False,Automne,12.28154761904762,21.97083333333333,BLEU
2018-10-11,False,False,Automne,14.245505617977528,22.641242937853107,BLEU
2018-10-12,False,False,Automne,14.41123595505618,24.17683615819209,BLEU
2018-10-13,True,False,Automne,14.676966292134832,24.65449438202247,BLEU
2018-10-14,True,False,Automne,14.154748603351957,22.94943820224719,BLEU
2018-10-15,False,False,Automne,13.39322033898305,20.947752808988763,BLEU
2018-10-16,False,False,Automne,11.848044692737432,21.13798882681564,BLEU
2018-10-17,False,False,Automne,10.61564245810056,20.582122905027934,BLEU
2018-10-18,False,False,Automne,12.162921348314606,20.94860335195531,BLEU
2018-10-19,False,False,Automne,10.681564245810057,20.5061797752809,BLEU
2018-10-20,True,False,Automne,9.702247191011235,19.881564245810058,BLEU
2018-10-21,True,False,Automne,7.859217877094972,19.715730337078654,BLEU
2018-10-22,False,False,Automne,8.407262569832403,17.492737430167598,BLEU
2018-10-23,False,False,Automne,6.42962962962963,17.75401459854015,BLEU
2018-10-24,False,False,Automne,8.147486033519554,18.696067415730337,BLEU
2018-10-25,False,False,Automne,8.821348314606741,17.74494382022472,BLEU
2018-10-26,False,False,Automne,7.873595505617978,15.38426966292135,BLEU
2018-10-27,True,False,Automne,5.536312849162012,11.73072625698324,BLEU
2018-10-28,True,False,Automne,4.785955056179775,9.437988826815642,BLEU
2018-10-29,False,False,Automne,4.041011235955056,8.178651685393259,BLEU
2018-10-30,False,False,Automne,3.28361581920904,11.605649717514122,BLEU
2018-10-31,False,False,Automne,5.531073446327683,13.272159090909092,BLEU
2018-11-01,False,True,Automne,8.0375,14.053409090909092,BLEU
2018-11-02,False,False,Automne,5.761714285714286,13.60225988700565,BLEU
2018-11-03,True,False,Automne,4.547727272727273,13.359322033898303,BLEU
2018-11-04,True,False,Automne,5.593181818181818,14.842857142857143,BLEU
2018-11-05,False,False,Automne,9.017613636363636,17.25284090909091,BLEU
2018-11-06,False,False,Automne,9.220338983050848,15.7864406779661,BLEU
2018-11-07,False,False,Automne,8.256741573033707,14.420224719101125,BLEU
2018-11-08,False,False,Automne,6.744134078212291,14.23072625698324,BLEU
2018-11-09,False,False,Automne,8.203954802259886,15.319774011299437,BLEU
2018-11-10,True,False,Automne,10.25505617977528,15.319662921348316,BLEU
2018-11-11,True,True,Automne,10.70225988700565,16.675842696629214,BLEU
2018-11-12,False,False,Automne,11.457865168539326,16.507344632768362,BLEU
2018-11-13,False,False,Automne,9.039772727272728,16.084745762711865,BLEU
2018-11-14,False,False,Automne,7.261016949152543,15.84406779661017,BLEU
2018-11-15,False,False,Automne,8.31412429378531,15.343258426966292,BLEU
2018-11-16,False,False,Automne,7.188823529411764,13.414619883040936,BLEU
2018-11-17,True,False,Automne,4.805084745762712,11.092134831460674,BLEU
2018-11-18,True,False,Automne,3.134269662921348,10.47094972067039,BLEU
2018-11-19,False,False,Automne,1.2875706214689266,7.614689265536723,BLEU
2018-11-20,False,False,Automne,1.4028248587570622,6.717977528089888,BLANC
2018-11-21,False,False,Automne,1.56271186440678,9.019101123595506,BLANC
2018-11-22,False,False,Automne,2.7731843575419,10.841011235955056,BLANC
2018-11-23,False,False,Automne,4.780446927374302,10.67486033519553,BLANC
2018-11-24,True,False,Automne,4.843502824858756,12.22134831460674,BLEU
2018-11-25,True,False,Automne,4.383146067415731,9.92134831460674,BLEU
2018-11-26,False,False,Automne,4.649438202247191,9.095480225988702,BLANC
2018-11-27,False,False,Automne,4.089385474860335,10.24494382022472,BLEU
2018-11-28,False,False,Automne,5.824022346368715,12.527932960893857,BLEU
2018-11-29,False,False,Automne,6.9463687150838,14.147752808988765,BLEU
2018-11-30,False,False,Automne,6.619318181818182,11.87683615819209,BLEU
2018-12-01,True,False,Automne,5.875706214689266,12.16022727272727,BLEU
2018-12-02,True,False,Automne,9.227272727272728,13.58125,BLEU
2018-12-03,False,False,Automne,10.74632768361582,15.144382022471907,BLEU
2018-12-04,False,False,Automne,7.840340909090909,14.229378531073444,BLEU
2018-12-05,False,False,Automne,6.610055865921788,13.88426966292135,BLEU
2018-12-06,False,False,Automne,9.474860335195531,14.125842696629212,BLEU
2018-12-07,False,False,Automne,7.435393258426966,13.437988826815642,BLEU
2018-12-08,True,False,Automne,6.97191011235955,12.35056179775281,BLEU
2018-12-09,True,False,Automne,8.177401129943503,12.608988764044945,BLEU
2018-12-10,False,False,Automne,5.302824858757062,11.12247191011236,BLANC
2018-12-11,False,False,Automne,2.2033333333333336,9.44111111111111,ROUGE
2018-12-12,False,False,Automne,0.9631284916201116,7.201111111111112,ROUGE
2018-12-13,False,False,Automne,1.0855555555555556,5.4238888888888885,ROUGE
2018-12-14,False,False,Automne,0.0899441340782122,5.154748603351956,ROUGE
2018-12-15,True,False,Automne,0.1449999999999999,7.129608938547486,BLANC
2018-12-16,True,False,Automne,4.008333333333334,8.883888888888889,BLEU
2018-12-17,False,False,Automne,4.295,10.735555555555557,BLANC
2018-12-18,False,False,Automne,3.3379888268156424,10.288764044943822,BLANC
2018-12-19,False,False,Automne,5.861111111111111,11.162777777777778,BLANC
2018-12-20,False,False,Automne,5.501117318435754,11.18826815642458,BLEU
2018-12-21,False,False,Hiver,7.387150837988827,13.05586592178771,BLEU
2018-12-22,True,False,Hiver,9.418435754189945,13.930167597765363,BLEU
2018-12-23,True,False,Hiver,9.00782122905028,14.177777777777775,BLEU
2018-12-24,False,False,Hiver,6.730167597765363,13.539444444444444,BLEU
2018-12-25,False,True,Hiver,2.511173184357542,9.575,BLEU
2018-12-26,False,False,Hiver,0.2388888888888889,7.69608938547486,BLANC
2018-12-27,False,False,Hiver,0.2849162011173184,7.468715083798883,BLANC
2018-12-28,False,False,Hiver,1.5783333333333334,7.608333333333333,BLANC
2018-12-29,True,False,Hiver,2.4294444444444445,7.939664804469274,BLANC
2018-12-30,True,False,Hiver,3.803888888888889,8.73072625698324,BLEU
2018-12-31,False,False,Hiver,4.620111731843576,9.463128491620113,BLANC
2019-01-01,False,True,Hiver,4.904444444444445,8.898333333333333,BLEU
2019-01-02,False,False,Hiver,2.849438202247191,8.693854748603352,BLANC
2019-01-03,False,False,Hiver,0.2368715083798882,6.864245810055866,ROUGE
2019-01-04,False,False,Hiver,-0.3502793296089385,6.295530726256984,ROUGE
2019-01-05,True,False,Hiver,0.5206703910614525,6.700561797752809,BLANC
2019-01-06,True,False,Hiver,2.321787709497207,6.573033707865169,BLEU
2019-01-07,False,False,Hiver,3.412849162011173,7.739887640449439,ROUGE
2019-01-08,False,False,Hiver,3.960893854748603,9.224581005586591,ROUGE
2019-01-09,False,False,Hiver,2.7711864406779663,7.434078212290503,ROUGE
2019-01-10,False,False,Hiver,0.7177777777777777,5.738333333333334,ROUGE
2019-01-11,False,False,Hiver,0.3277777777777778,6.635754189944134,ROUGE
2019-01-12,True,False,Hiver,3.197777777777778,8.704469273743015,BLANC
2019-01-13,True,False,Hiver,6.483798882681564,10.963128491620113,BLEU
2019-01-14,False,False,Hiver,6.381564245810056,10.963333333333336,BLANC
2019-01-15,False,False,Hiver,3.02,9.892737430167598,ROUGE
2019-01-16,False,False,Hiver,0.8388888888888889,10.13463687150838,BLANC
2019-01-17,False,False,Hiver,2.7681564245810057,9.442222222222222,BLANC
2019-01-18,False,False,Hiver,0.2396648044692737,6.785555555555556,ROUGE
2019-01-19,True,False,Hiver,-0.0833333333333333,7.327932960893855,BLANC
2019-01-20,True,False,Hiver,1.7379888268156425,7.03,BLEU
2019-01-21,False,False,Hiver,-0.555813953488372,5.920930232558139,ROUGE
2019-01-22,False,False,Hiver,-0.8855555555555555,5.67709497206704,ROUGE
2019-01-23,False,False,Hiver,1.011111111111111,5.188268156424582,ROUGE
2019-01-24,False,False,Hiver,-0.0309941520467836,5.057309941520468,ROUGE
2019-01-25,False,False,Hiver,1.069767441860465,7.440350877192982,ROUGE
2019-01-26,True,False,Hiver,3.9497206703910615,9.915642458100558,BLEU
2019-01-27,True,False,Hiver,3.7446927374301673,9.571111111111112,BLEU
2019-01-28,False,False,Hiver,2.3318435754189943,7.4279329608938545,BLANC
2019-01-29,False,False,Hiver,0.8066666666666666,6.997206703910615,ROUGE
2019-01-30,False,False,Hiver,1.3494444444444444,6.316666666666666,BLANC
2019-01-31,False,False,Hiver,1.007777777777778,7.689944134078212,BLANC
2019-02-01,False,False,Hiver,3.97,9.04888888888889,BLANC
2019-02-02,True,False,Hiver,3.0194444444444444,6.9502793296089385,BLEU
2019-02-03,True,False,Hiver,1.107262569832402,6.831666666666667,BLEU
2019-02-04,False,False,Hiver,-0.0843575418994413,7.231284916201118,ROUGE
2019-02-05,False,False,Hiver,2.088268156424581,9.656983240223465,BLANC
2019-02-06,False,False,Hiver,3.221111111111111,11.68435754189944,BLANC
2019-02-07,False,False,Hiver,3.767597765363128,11.068715083798882,BLEU
2019-02-08,False,False,Hiver,4.595555555555555,11.674860335195532,BLEU
2019-02-09,True,False,Hiver,5.826666666666666,12.693333333333335,BLEU
2019-02-10,True,False,Hiver,5.576666666666666,11.780662983425415,BLEU
2019-02-11,False,False,Hiver,3.580555555555556,9.881666666666668,BLANC
