Date,Consommation
2019-04-12,57216.75
2019-04-13,53152.604166666664
2019-04-14,52241.041666666664
2019-04-15,57452.729166666664
2019-04-16,56242.291666666664
2019-04-17,54358.125
2019-04-18,51483.895833333336
2019-04-19,48949.666666666664
2019-04-20,43281.729166666664
2019-04-21,40540.583333333336
2019-04-22,41141.4375
2019-04-23,47849.6875
2019-04-24,49254.645833333336
2019-04-25,50926.354166666664
2019-04-26,51251.604166666664
2019-04-27,46814.229166666664
2019-04-28,46394.604166666664
2019-04-29,52229.041666666664
2019-04-30,51253.520833333336
2019-05-01,42965.770833333336
2019-05-02,49840.854166666664
2019-05-03,51112.854166666664
2019-05-04,48698.791666666664
2019-05-05,48957.125
2019-05-06,55150.083333333336
2019-05-07,53679.791666666664
2019-05-08,47370.125
2019-05-09,52171.625
2019-05-10,51591.6875
2019-05-11,45825.395833333336
2019-05-12,43723.8125
2019-05-13,49934.395833333336
2019-05-14,49668.208333333336
2019-05-15,49312.708333333336
2019-05-16,49207.041666666664
2019-05-17,49432.270833333336
2019-05-18,44623.166666666664
2019-05-19,42723.4375
2019-05-20,49223.229166666664
2019-05-21,49111.770833333336
2019-05-22,48312.041666666664
2019-05-23,47666.916666666664
2019-05-24,46872.645833333336
2019-05-25,41604.833333333336
2019-05-26,39343.604166666664
2019-05-27,46084.875
2019-05-28,47528.416666666664
2019-05-29,47937.666666666664
2019-05-30,41510.0625
2019-05-31,43175.416666666664
2019-06-01,40746.5625
2019-06-02,38540.020833333336
2019-06-03,45294.6875
2019-06-04,46523.479166666664
2019-06-05,46824.0
2019-06-06,46677.0
2019-06-07,46385.145833333336
2019-06-08,41315.145833333336
2019-06-09,38678.979166666664
2019-06-10,40629.395833333336
2019-06-11,47087.375
2019-06-12,47901.854166666664
2019-06-13,47452.416666666664
2019-06-14,46881.25
2019-06-15,41408.645833333336
2019-06-16,38932.895833333336
2019-06-17,45782.166666666664
2019-06-18,47095.354166666664
2019-06-19,47055.6875
2019-06-20,46737.791666666664
2019-06-21,46098.0
2019-06-22,41060.895833333336
2019-06-23,39076.958333333336
2019-06-24,47208.208333333336
2019-06-25,49374.5
2019-06-26,50320.729166666664
2019-06-27,50982.166666666664
2019-06-28,50134.958333333336
2019-06-29,45184.875
2019-06-30,42028.333333333336
2019-07-01,47997.666666666664
2019-07-02,48585.708333333336
2019-07-03,48785.291666666664
2019-07-04,49167.604166666664
2019-07-05,49485.916666666664
2019-07-06,44176.8125
2019-07-07,41045.916666666664
2019-07-08,47473.020833333336
2019-07-09,47392.125
2019-07-10,47867.729166666664
2019-07-11,48279.395833333336
2019-07-12,47991.833333333336
2019-07-13,42687.958333333336
2019-07-14,39519.6875
2019-07-15,45962.791666666664
2019-07-16,47671.1875
2019-07-17,48111.645833333336
2019-07-18,48082.583333333336
2019-07-19,47841.291666666664
2019-07-20,42823.083333333336
2019-07-21,40428.083333333336
2019-07-22,48263.833333333336
2019-07-23,50561.895833333336
2019-07-24,51247.833333333336
2019-07-25,51166.0
2019-07-26,48523.416666666664
2019-07-27,41070.5
2019-07-28,37427.520833333336
2019-07-29,43619.104166666664
2019-07-30,44691.625
2019-07-31,44490.395833333336
2019-08-01,44697.6875
2019-08-02,44197.458333333336
2019-08-03,40177.729166666664
2019-08-04,38201.520833333336
2019-08-05,42761.520833333336
2019-08-06,43339.645833333336
2019-08-07,42808.25
2019-08-08,43422.5625
2019-08-09,43692.979166666664
2019-08-10,39245.625
2019-08-11,36757.270833333336
2019-08-12,40299.6875
2019-08-13,40737.041666666664
2019-08-14,41008.479166666664
2019-08-15,37609.0625
2019-08-16,39850.125
2019-08-17,38449.4375
2019-08-18,37057.125
2019-08-19,41705.8125
2019-08-20,42751.125
2019-08-21,43140.583333333336
2019-08-22,43517.791666666664
2019-08-23,43763.479166666664
2019-08-24,40352.0625
2019-08-25,38570.875
2019-08-26,45624.0
2019-08-27,47153.666666666664
2019-08-28,47414.041666666664
2019-08-29,47377.5625
2019-08-30,47098.5625
2019-08-31,42103.8125
2019-09-01,39245.25
2019-09-02,45118.9375
2019-09-03,46532.8125
2019-09-04,46835.125
2019-09-05,46408.75
2019-09-06,45929.916666666664
2019-09-07,40733.6875
2019-09-08,38817.541666666664
2019-09-09,45825.729166666664
2019-09-10,46845.75
2019-09-11,46993.291666666664
2019-09-12,47074.625
2019-09-13,46456.125
2019-09-14,41222.458333333336
2019-09-15,39042.416666666664
2019-09-16,45936.541666666664
2019-09-17,46850.729166666664
2019-09-18,46620.8125
2019-09-19,46493.583333333336
2019-09-20,46185.375
2019-09-21,41068.875
2019-09-22,38525.5625
2019-09-23,44896.979166666664
2019-09-24,46167.729166666664
2019-09-25,46891.145833333336
2019-09-26,47239.375
2019-09-27,46458.3125
2019-09-28,41438.645833333336
2019-09-29,39592.020833333336
2019-09-30,46229.3125
2019-10-01,47485.3125
2019-10-02,47883.4375
2019-10-03,49402.875
2019-10-04,49027.520833333336
2019-10-05,43600.4375
2019-10-06,41335.145833333336
2019-10-07,48396.625
2019-10-08,49387.916666666664
2019-10-09,49864.125
2019-10-10,49934.604166666664
2019-10-11,49007.541666666664
2019-10-12,43138.333333333336
2019-10-13,40471.0625
2019-10-14,46881.895833333336
2019-10-15,48482.333333333336
2019-10-16,49882.166666666664
2019-10-17,50008.3125
2019-10-18,49516.333333333336
2019-10-19,44707.4375
2019-10-20,43168.708333333336
2019-10-21,50711.458333333336
2019-10-22,53200.479166666664
2019-10-23,52503.895833333336
2019-10-24,51652.3125
2019-10-25,50957.854166666664
2019-10-26,45315.25
2019-10-27,43902.583333333336
