time,tmin,tmax
2018-01-01,6.501796407185629,11.188690476190477
2018-01-02,6.229518072289156,12.299397590361446
2018-01-03,8.244848484848486,14.868484848484849
2018-01-04,9.10059880239521,14.82874251497006
2018-01-05,7.344311377245509,13.331547619047617
2018-01-06,6.083431952662721,10.565294117647058
2018-01-07,6.811309523809523,10.40529411764706
2018-01-08,5.614457831325301,10.159171597633136
2018-01-09,4.369325153374233,10.296951219512195
2018-01-10,5.407926829268293,10.964242424242423
2018-01-11,4.064670658682634,9.41556886227545
2018-01-12,3.172289156626506,8.691071428571428
2018-01-13,1.7433734939759036,8.28562874251497
2018-01-14,2.701204819277108,8.832934131736526
2018-01-15,3.3813253012048192,10.563855421686746
2018-01-16,7.1271604938271595,12.038036809815951
2018-01-17,5.045731707317073,10.27716049382716
2018-01-18,5.132926829268293,11.42848484848485
2018-01-19,5.031927710843373,10.466467065868263
2018-01-20,4.536363636363636,11.312727272727273
2018-01-21,7.7481481481481485,12.232515337423314
2018-01-22,8.389506172839505,13.42037037037037
2018-01-23,6.9562130177514785,12.871005917159762
2018-01-24,7.041420118343195,13.65357142857143
2018-01-25,6.985714285714285,11.815976331360947
2018-01-26,4.823529411764706,10.099411764705883
2018-01-27,3.1650887573964495,8.84792899408284
2018-01-28,4.262573099415205,10.879999999999999
2018-01-29,6.158579881656804,10.801785714285714
2018-01-30,6.1535714285714285,10.754437869822485
2018-01-31,5.060355029585799,10.557058823529411
2018-02-01,3.103550295857988,8.392899408284023
2018-02-02,1.6142011834319527,7.241071428571429
2018-02-03,2.0278106508875737,7.023076923076924
2018-02-04,0.9672619047619048,7.001183431952663
2018-02-05,0.8538461538461537,4.972941176470588
2018-02-06,0.67,5.138011695906433
2018-02-07,-0.1136904761904762,3.8600000000000003
2018-02-08,-1.555621301775148,5.077058823529412
2018-02-09,-1.2591715976331361,5.70421686746988
2018-02-10,-0.3982248520710059,7.242011834319527
2018-02-11,1.8220238095238097,9.339644970414202
2018-02-12,0.08452380952380951,7.738823529411764
2018-02-13,-1.1093567251461989,6.533333333333333
2018-02-14,0.13588235294117648,8.144705882352941
2018-02-15,4.628823529411765,12.252352941176472
2018-02-16,4.719526627218935,12.08224852071006
2018-02-17,4.464497041420119,10.569411764705881
2018-02-18,2.416470588235294,9.127058823529412
2018-02-19,2.8358823529411765,8.720588235294118
2018-02-20,4.49171974522293,9.16518987341772
2018-02-21,1.2047619047619047,6.941071428571428
2018-02-22,-0.43964497041420114,5.823076923076923
2018-02-23,-1.0869822485207101,5.370414201183432
2018-02-24,-1.2363095238095236,6.747928994082841
2018-02-25,-1.0875739644970415,6.2214285714285715
2018-02-26,-3.8714285714285714,2.1218934911242604
2018-02-27,-6.33855421686747,0.3149700598802395
2018-02-28,-7.050595238095238,1.6517857142857142
2018-03-01,-0.8291666666666667,7.108928571428571
2018-03-02,2.783132530120482,9.661077844311377
2018-03-03,2.961176470588235,12.116666666666665
2018-03-04,3.9183431952662726,11.575739644970414
2018-03-05,4.151764705882353,12.45705882352941
2018-03-06,4.611834319526627,11.85357142857143
2018-03-07,4.033727810650888,11.049112426035503
2018-03-08,3.160355029585799,13.201775147928993
2018-03-09,6.352352941176471,14.68
2018-03-10,9.83,16.415294117647058
2018-03-11,9.054705882352941,16.204117647058823
2018-03-12,8.02662721893491,13.174556213017752
2018-03-13,5.50059880239521,12.587499999999999
2018-03-14,3.619526627218935,14.859281437125748
2018-03-15,7.097005988023953,13.27005988023952
2018-03-16,5.5113095238095235,13.637278106508875
2018-03-17,2.6439759036144577,10.419161676646707
2018-03-18,1.9892215568862275,7.064670658682634
2018-03-19,0.7101796407185629,6.970481927710843
2018-03-20,0.7886227544910179,7.617964071856288
2018-03-21,0.7544910179640718,8.449700598802394
2018-03-22,-0.3246987951807229,9.039880952380953
2018-03-23,3.2119760479041917,10.45357142857143
2018-03-24,3.7279761904761903,12.414201183431953
2018-03-25,4.928402366863905,13.382248520710059
2018-03-26,5.247305389221556,12.682142857142857
2018-03-27,5.484431137724551,12.711976047904193
2018-03-28,7.316568047337278,14.021764705882353
2018-03-29,5.042857142857143,13.108333333333333
2018-03-30,4.683431952662722,12.476923076923077
2018-03-31,3.7272189349112423,11.84733727810651
2018-04-01,4.511377245508982,12.722619047619048
2018-04-02,5.991124260355029,15.409580838323354
2018-04-03,9.46923076923077,16.36390532544379
2018-04-04,9.06235294117647,15.59235294117647
2018-04-05,6.809523809523809,14.52544378698225
2018-04-06,5.023809523809524,19.308875739644968
2018-04-07,9.316568047337277,18.940236686390534
2018-04-08,9.646107784431138,17.40833333333333
2018-04-09,9.775595238095239,15.459763313609466
2018-04-10,7.854166666666667,14.750887573964498
2018-04-11,6.830208333333334,15.554545454545455
2018-04-12,7.606586826347305,14.649404761904762
2018-04-13,7.035329341317365,16.318562874251494
2018-04-14,8.3437125748503,16.716766467065867
2018-04-15,8.230120481927711,18.422155688622755
2018-04-16,8.735542168674698,17.510778443113775
2018-04-17,7.02289156626506,21.74251497005988
2018-04-18,9.192857142857143,25.01497005988024
2018-04-19,10.836904761904762,25.120238095238093
2018-04-20,10.815976331360947,25.437869822485208
2018-04-21,11.435928143712575,26.018452380952382
2018-04-22,11.752095808383233,24.050595238095237
2018-04-23,11.329166666666666,19.816568047337277
2018-04-24,9.750898203592815,21.46785714285714
2018-04-25,10.425,19.04311377245509
2018-04-26,8.443373493975903,17.325301204819276
2018-04-27,6.451190476190476,19.31904761904762
2018-04-28,9.392215568862275,16.88154761904762
2018-04-29,8.87202380952381,15.980838323353295
